SITE_ID,atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
NYU,aal,graph_level,average_degree,pca_10,XGB,0.45714285714285713,0.5714285714285714
NYU,aal,graph_level,average_degree,pca_10,LGBM,0.5,0.5714285714285714
NYU,aal,graph_level,average_degree,pca_10,SVM,0.5357142857142858,0.5714285714285714
NYU,aal,graph_level,average_degree,pca_10,MLP,0.5642857142857143,0.7428571428571429
NYU,dos160,node_based,degree,original,LR,0.5071428571428571,0.6285714285714286
NYU,dos160,node_based,degree,original,DT,0.5357142857142856,0.5428571428571428
NYU,dos160,node_based,degree,original,RF,0.5857142857142856,0.5428571428571428
NYU,dos160,node_based,degree,original,XGB,0.5142857142857143,0.5428571428571428
NYU,dos160,node_based,degree,original,LGBM,0.5142857142857142,0.6
NYU,dos160,node_based,degree,original,SVM,0.6,0.5714285714285714
NYU,dos160,node_based,degree,original,MLP,0.5928571428571427,0.5428571428571428
NYU,dos160,node_based,degree,mi_10,LR,0.5928571428571429,0.5142857142857142
NYU,dos160,node_based,degree,mi_10,DT,0.5714285714285714,0.5714285714285714
NYU,dos160,node_based,degree,mi_10,RF,0.6428571428571428,0.5142857142857142
NYU,dos160,node_based,degree,mi_10,XGB,0.6285714285714286,0.42857142857142855
NYU,dos160,node_based,degree,mi_10,LGBM,0.6285714285714286,0.4857142857142857
NYU,dos160,node_based,degree,mi_10,SVM,0.6428571428571429,0.5714285714285714
NYU,dos160,node_based,degree,mi_10,MLP,0.6214285714285716,0.5428571428571428
NYU,dos160,node_based,degree,pca_10,LR,0.5,0.4857142857142857
NYU,dos160,node_based,degree,pca_10,DT,0.5071428571428571,0.6571428571428571
NYU,dos160,node_based,degree,pca_10,RF,0.6,0.45714285714285713
NYU,dos160,node_based,degree,pca_10,XGB,0.5428571428571429,0.4857142857142857
NYU,dos160,node_based,degree,pca_10,LGBM,0.5357142857142857,0.4857142857142857
NYU,dos160,node_based,degree,pca_10,SVM,0.6214285714285716,0.4857142857142857
NYU,dos160,node_based,degree,pca_10,MLP,0.55,0.5714285714285714
NYU,dos160,edge_based,average_degree,original,LR,0.5142857142857142,0.5428571428571428
