atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
cc200,graph_level,average_degree,original,LGBM,1.0,0.5555555555555556
cc200,graph_level,average_degree,original,SVM,0.5905797101449275,0.5072463768115942
cc200,graph_level,average_degree,original,MLP,0.7415458937198067,0.4830917874396135
cc200,node_based,degree,mi_10,LR,0.6002415458937198,0.5072463768115942
cc200,node_based,degree,mi_10,DT,1.0,0.5024154589371981
cc200,node_based,degree,mi_10,RF,1.0,0.5458937198067633
cc200,node_based,degree,mi_10,XGB,1.0,0.5314009661835749
cc200,node_based,degree,mi_10,LGBM,1.0,0.5072463768115942
cc200,node_based,degree,mi_10,SVM,0.6992753623188406,0.5410628019323671
cc200,node_based,degree,mi_10,MLP,0.8514492753623188,0.5700483091787439
cc200,edge_based,average_degree,mi_10,LR,0.5265700483091788,0.4782608695652174
cc200,edge_based,average_degree,mi_10,DT,0.5809178743961353,0.4782608695652174
cc200,edge_based,average_degree,mi_10,RF,0.5797101449275363,0.5024154589371981
cc200,edge_based,average_degree,mi_10,XGB,0.5736714975845411,0.5072463768115942
cc200,edge_based,average_degree,mi_10,LGBM,0.5603864734299517,0.5265700483091788
cc200,edge_based,average_degree,mi_10,SVM,0.5495169082125604,0.5024154589371981
cc200,edge_based,average_degree,mi_10,MLP,0.5579710144927537,0.5120772946859904
cc200,graph_level,average_degree,mi_10,LR,0.5301932367149759,0.5024154589371981
cc200,graph_level,average_degree,mi_10,DT,1.0,0.5603864734299517
cc200,graph_level,average_degree,mi_10,RF,1.0,0.5555555555555556
cc200,graph_level,average_degree,mi_10,XGB,0.9951690821256038,0.5024154589371981
cc200,graph_level,average_degree,mi_10,LGBM,0.9794685990338164,0.5362318840579711
cc200,graph_level,average_degree,mi_10,SVM,0.5579710144927537,0.5362318840579711
cc200,graph_level,average_degree,mi_10,MLP,0.5615942028985508,0.5507246376811594
cc200,node_based,degree,pca_10,LR,0.6183574879227053,0.5990338164251208
cc200,node_based,degree,pca_10,DT,1.0,0.4975845410628019
cc200,node_based,degree,pca_10,RF,1.0,0.6183574879227053
cc200,node_based,degree,pca_10,XGB,1.0,0.5942028985507246
cc200,node_based,degree,pca_10,LGBM,1.0,0.6086956521739131
cc200,node_based,degree,pca_10,SVM,0.6739130434782609,0.6376811594202898
cc200,node_based,degree,pca_10,MLP,0.9142512077294686,0.5845410628019324
cc200,edge_based,average_degree,pca_10,LR,0.5362318840579711,0.4444444444444444
cc200,edge_based,average_degree,pca_10,DT,0.9963768115942029,0.5314009661835749
cc200,edge_based,average_degree,pca_10,RF,0.9963768115942029,0.5024154589371981
cc200,edge_based,average_degree,pca_10,XGB,0.9879227053140096,0.5072463768115942
cc200,edge_based,average_degree,pca_10,LGBM,0.964975845410628,0.4927536231884058
cc200,edge_based,average_degree,pca_10,SVM,0.5797101449275363,0.45410628019323673
cc200,edge_based,average_degree,pca_10,MLP,0.6594202898550725,0.4782608695652174
cc200,graph_level,average_degree,pca_10,LR,0.5531400966183575,0.4492753623188406
cc200,graph_level,average_degree,pca_10,DT,1.0,0.4782608695652174
cc200,graph_level,average_degree,pca_10,RF,1.0,0.5700483091787439
cc200,graph_level,average_degree,pca_10,XGB,1.0,0.5410628019323671
cc200,graph_level,average_degree,pca_10,LGBM,1.0,0.5507246376811594
cc200,graph_level,average_degree,pca_10,SVM,0.5652173913043478,0.5362318840579711
cc200,graph_level,average_degree,pca_10,MLP,0.7693236714975845,0.5362318840579711
dos160,node_based,degree,original,LR,0.7330917874396136,0.5362318840579711
dos160,node_based,degree,original,DT,1.0,0.5217391304347826
dos160,node_based,degree,original,RF,1.0,0.5265700483091788
dos160,node_based,degree,original,XGB,1.0,0.5120772946859904
dos160,node_based,degree,original,LGBM,1.0,0.5458937198067633
dos160,node_based,degree,original,SVM,0.6884057971014492,0.4830917874396135
dos160,node_based,degree,original,MLP,1.0,0.5603864734299517
dos160,edge_based,average_degree,original,LR,0.6557971014492754,0.4975845410628019
dos160,edge_based,average_degree,original,DT,1.0,0.5700483091787439
dos160,edge_based,average_degree,original,RF,1.0,0.47342995169082125
dos160,edge_based,average_degree,original,XGB,0.9541062801932367,0.5314009661835749
dos160,edge_based,average_degree,original,LGBM,0.961352657004831,0.4975845410628019
dos160,edge_based,average_degree,original,SVM,0.6086956521739131,0.5458937198067633
dos160,edge_based,average_degree,original,MLP,0.9033816425120773,0.45893719806763283
dos160,graph_level,average_degree,original,LR,0.5736714975845411,0.45410628019323673
dos160,graph_level,average_degree,original,DT,0.998792270531401,0.4444444444444444
dos160,graph_level,average_degree,original,RF,0.998792270531401,0.4975845410628019
dos160,graph_level,average_degree,original,XGB,0.998792270531401,0.5024154589371981
dos160,graph_level,average_degree,original,LGBM,0.9951690821256038,0.5072463768115942
dos160,graph_level,average_degree,original,SVM,0.538647342995169,0.5362318840579711
dos160,graph_level,average_degree,original,MLP,0.6823671497584541,0.43478260869565216
dos160,node_based,degree,mi_10,LR,0.5519323671497585,0.5024154589371981
dos160,node_based,degree,mi_10,DT,1.0,0.5603864734299517
dos160,node_based,degree,mi_10,RF,1.0,0.5797101449275363
dos160,node_based,degree,mi_10,XGB,0.9939613526570048,0.5990338164251208
dos160,node_based,degree,mi_10,LGBM,0.9903381642512077,0.5893719806763285
dos160,node_based,degree,mi_10,SVM,0.5821256038647343,0.463768115942029
dos160,node_based,degree,mi_10,MLP,0.6702898550724637,0.5603864734299517
dos160,edge_based,average_degree,mi_10,LR,0.5458937198067633,0.5603864734299517
dos160,edge_based,average_degree,mi_10,DT,0.9553140096618358,0.5169082125603864
dos160,edge_based,average_degree,mi_10,RF,0.9553140096618358,0.4927536231884058
dos160,edge_based,average_degree,mi_10,XGB,0.8538647342995169,0.463768115942029
dos160,edge_based,average_degree,mi_10,LGBM,0.8103864734299517,0.4927536231884058
dos160,edge_based,average_degree,mi_10,SVM,0.5978260869565217,0.5217391304347826
dos160,edge_based,average_degree,mi_10,MLP,0.6243961352657005,0.5217391304347826
